Jobtitle,City,Date,Skills,Salary,Candidates,Copy
técnico de sistemas,Valencia,2022-09-29,"['ftp', 'snmp', 'nfs', 'aix', 'tcp ip', 'dell', 'hhtp', 'windows sever', 'oracle', 'san', 'linux', 'hp ux', '.net', 'brocade', 'ssh', 'hyper v', 'hp', 'vmware', 'emc', 'ibm']",no disponible,7,2022-10-02
arquitecto front-end movilidad,Online,2022-09-29,"['reactjs', 'nodejs', 'xamarin', 'angularjs']",46500.0,29,2022-10-02
consultor/a pega experiencia en onboardi,Madrid,2022-09-29,['pega'],no disponible,1,2022-10-02
insurance it project mana,Online,2022-09-29,"['it', 'seguros']",49500.0,13,2022-10-02
"mantenimiento broadcast, transmisió",Barcelona,2022-09-29,"['correctivos', 'sla', 'mantenimiento', 'kpi', 'preventivos']",25500.0,16,2022-10-02
tã©cnico/a - provisiones de red,Barcelona,2022-09-29,"['argus', 'fluke']",no disponible,21,2022-10-02
change mana,Online,2022-09-29,"['itil', 'itsm', 'gestion del cambio']",no disponible,11,2022-10-02
comercial de softwa,Madrid,2022-09-29,['software'],no disponible,8,2022-10-02
java develop,Madrid,2022-09-29,['java'],no disponible,0,2022-10-02
it mana,Valencia,2022-09-29,"['navision', 'sap']",no disponible,19,2022-10-02
tester selenium (teletrabajo),Madrid,2022-09-29,"['selenium', 'tester']",no disponible,11,2022-10-02
técnico de sistemas linux,Madrid,2022-09-29,['linux'],no disponible,11,2022-10-02
ingeniero/a de softwa,Madrid,2022-09-29,"['java', 'spring', 'javaee']",no disponible,8,2022-10-02
it mana,Madrid,2022-09-28,"['erp', 'basic', 'c', 'logica booleana', 'office 365']",46500.0,32,2022-10-02
engineering manager 100% remoto,Online,2022-09-28,"['ios', 'android', 'scrum', 'java', 'agile']",40500.0,25,2022-10-02
técnico devops,Madrid,2022-09-28,"['linux', 'windows', 'devops', 'azure', 'pipelines']",42000.0,10,2022-10-02
técnico de sistemas (inglés),Madrid,2022-09-28,"['linux', 'windows', 'sql', 'scripting', 'vmware', 'cloud', 'redes', 'oracle', '.net']",25500.0,5,2022-10-02
técnico/a senior sap basis,Online,2022-09-28,"['ha', 'dr', 'dmo', 'sap', 'sum']",no disponible,20,2022-10-02
help desk l2 azure inglés remoto,Online,2022-09-28,['azure'],no disponible,21,2022-10-02
programador/a .net junio,Asturias,2022-09-28,"['.net', 'c#']",no disponible,55,2022-10-02
product owner e-commerc,Barcelona,2022-09-28,"['confluence', 'miro', 'tableau', 'jira']",43500.0,20,2022-10-02
3 administradores de sistemas control-m,Madrid,2022-09-28,"['bmc', 'control m']",39000.0,15,2022-10-02
sap f&r consultant (end client),Madrid,2022-09-28,['sap'],no disponible,0,2022-10-02
data engineer (tecnologías microsoft),Barcelona,2022-09-28,"['sql', 'spark', 'azure']",43500.0,4,2022-10-02
data scientis,Madrid,2022-09-28,"['machine learning', 'qlik', 'kibana', 'inteligencia artificial']",no disponible,0,2022-10-02
desarrollador salesforc,Madrid,2022-09-28,['salesforce'],no disponible,9,2022-10-02
php developer hasta 43k,Barcelona,2022-09-28,"['php', 'symfony', 'mysql']",no disponible,9,2022-10-02
técnico de laboratorio hardwa,Madrid,2022-09-28,"['altium', 'hardware']",no disponible,7,2022-10-02
data engi,Madrid,2022-09-28,"['python', 'aws', 'azure']",no disponible,0,2022-10-02
programador ios 100% teletrabajo,Online,2022-09-27,"['objective c', 'ios', 'swift', 'ticketing']",33000.0,20,2022-10-02
experto en excel - desarrollado,Madrid,2022-09-27,"['microservicios', 'agile', 'java', 'excel', 'spring']",no disponible,14,2022-10-02
gnss engi,Valencia,2022-09-27,"['python', 'cplusplus', 'octave', 'matlab']",no disponible,11,2022-10-02
systems/infrastructure administrato,Madrid,2022-09-27,"['redes', 'infraestructura']",no disponible,5,2022-10-02
data scientist junio,Barcelona,2022-09-27,"['python', 'sql']",no disponible,57,2022-10-02
técnico de soporte onsite (2 meses),Barcelona,2022-09-27,"['office 365', 'ticketing']",no disponible,14,2022-10-02
consultor sap fi-co,Madrid,2022-09-27,['sap'],no disponible,9,2022-10-02
técnico sem,Alicante,2022-09-27,"['sem', 'google ads']",no disponible,4,2022-10-02
técnico micro,Valladolid,2022-09-27,"['soporte', 'microinformatica']",13500.0,4,2022-10-02
tecnico micro informatico,Valencia,2022-09-27,"['instalacion', 'microinformatica', 'configuracion']",13500.0,44,2022-10-02
administrador/a de cuenta técnica,Barcelona,2022-09-26,"['redes', 'wi fi', 'tcp / ip']",no disponible,32,2022-10-02
técnico audiovisual,Madrid,2022-09-26,"['audiovisual', 'informatica']",13500.0,82,2022-10-02
desarrollador java back-end,Bizkaia,2022-09-26,"['java', 'spring', 'angularjs']",30000.0,5,2022-10-02
helpdesk (maquetación equipos),Madrid,2022-09-26,['helpdesk'],no disponible,11,2022-10-02
administrador/a de sistemas galileo,Madrid,2022-09-26,"['vmware', 'linux']",no disponible,112,2022-10-02
it mana,Zaragoza,2022-09-26,"['dns', 'active directory', 'windows', 'pmp']",no disponible,8,2022-10-02
administrador/a sistemas - inglés,Valencia,2022-09-26,"['active directory', 'windows', 'windows server']",no disponible,15,2022-10-02
dirección técnica,La Rioja,2022-09-26,"['navision', 'dynamics']",46500.0,6,2022-10-02
desarrollador java (jboss y tomcat),Madrid,2022-09-26,"['java', 'tomcat', 'jboss']",no disponible,0,2022-10-02
desarrollador android 100% remoto,Madrid,2022-09-26,"['java', 'android']",no disponible,9,2022-10-02
auditor lﾃｭder en sistemas de calidad,Madrid,2022-09-26,"['iso', 'qms']",no disponible,5,2022-10-02
